MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,j2_total_diff,HOT_total_diff
60068.91645833333,-2183936.0093237855,84467.57286191895,-6512115.047154804,7178.394872173784,-704.1859576112615,-2426.1885619033264,-71.57615434661905,-14.38994886609426,6862727.9221671345,28955810.870829154,58028156.08881629,46176.589152646746,46243.03137495168,0.0,0.0
60068.91680555556,-1967421.1779754465,63299.33439471712,-6581291.559726994,7254.599223101525,-706.9003860516672,-2185.1646630735377,-73.4770296216088,-14.14280389661055,6863004.767791408,28951931.324185267,58025820.90402943,47718.81560207957,47795.28288580316,2.1354075893759727,-7.889653857797384
60068.91715277778,-1748740.1195326897,42061.33744145697,-6643201.397780857,7322.797476198476,-708.8361291926333,-1941.7879456512085,-75.37687556865434,-13.80187891083483,6863284.229540285,28948175.980671953,58023463.47541759,49109.65312456417,49196.068787083845,9.212786581367254,-10.76065369695425
60068.9175,-1528134.0980342466,20776.972287097946,-6697777.979597374,7382.919149142795,-709.9913764176447,-1696.3256232924018,-77.27532552566261,-13.325236296363224,6863566.179679027,28944551.768802572,58021084.87360048,50343.04045564103,50439.09128851594,21.435507778078318,-8.173102904111147
60068.91784722222,-1305846.3541948125,-530.3312699542148,-6744962.769031523,7434.902773661975,-710.3652186722098,-1449.0467507900687,-79.17175401302056,-12.641662942687496,6863850.47539097,28941067.241840504,58018686.29781055,51413.61631939498,51518.50181290586,36.810816153883934,-1.6324552185833454
60068.91819444444,-1082121.8412357538,-21837.12639737429,-6784705.322105484,7478.695681068172,-709.957607873268,-1200.221682892107,-81.06500271524006,-11.619852661347428,6864136.952516916,28937730.491544615,58016269.12875025,52316.742311159695,52429.558572330425,53.26605997979641,6.892020884901285
60068.918541666666,-857206.9651258612,-43119.979497277935,-6816963.322591576,7514.253730603136,-708.7692789960272,-950.1219486929931,-82.95266776495384,-9.988623648183152,6864425.417505749,28934547.368059937,58013834.99651806,53048.52259275048,53168.87450599757,70.47703088074923,16.567339651286602
60068.91888888889,-631349.3249271195,-64355.490940126045,-6841702.618595413,7541.541331144251,-706.8017980617507,-699.0202438814134,-84.82884189426481,-7.086362287585893,6864715.647945232,28931521.86622818,58011385.77605148,53605.8201103446,53734.839477365334,89.46087846159935,26.88373337686062
60068.91923611111,-404797.4603597706,-85520.32023021787,-6858897.255122541,7560.531637567529,-704.0575862109096,-447.19028188077704,-86.67433928158627,-0.7986769647751413,6865007.397174304,28928657.43778465,58008923.54810644,53986.26933666956,54130.12019574164,111.21215062588453,33.80351339653134
60068.919583333336,-177800.5821478304,-106591.20997009064,-6868529.496683887,7571.206719177627,-700.5398237041137,-194.9063802298003,-88.38127135920368,19.9522738648251,6865300.394618124,28925957.86308506,58006450.59635476,54188.28574131198,54378.66911070413,135.81869389489293,11.87754624709487
